ID	Original Text	Translated Text
7583	REVERSIBLE MAIN THRUSTERS	PROPULSEURS PRINCIPAUX RÉVERSIBLES
7584	FORWARD MAIN THRUSTERS	PROPULSEURS PRINCIPAUX AVANT
7585	$NO EXTRACTOR SUPPORT	PAS DE SUPPORT POUR LES EXTRACTEURS
7586	$HAS EXTRACTOR SUPPORT	A UN SUPPORT D'EXTRACTEUR
7587	Cargo Slots	Créneaux de cargaison
7588	Reactor Output$	Sortie du réacteur
7589	Max Temp	Température maximale
7590	Engineering:	Ingénierie :
7591	Weapons:	Des armes :
7592	Science Lab:	Labo de sciences :
7593	Life Support:	Soutien vital :
7594	Private_Password	Mot de passe privé
7595	The game name	Le nom du jeu
7596	<color=blue>	<color=blue>
7597	</color>	</color>
7598	is currently in use!	est actuellement en cours d'utilisation !
7599	DelayedResetGame exception:	Exception DelayedResetGame :
7600	translation.tsv	traduction.tsv
7601	dialogue.tsv	dialogue.tsv
7602	/version.xml	/version.xml
7603	/Assets/StreamingAssets/LanguageDataFiles/version.xml	/Assets/StreamingAssets/LanguageDataFiles/version.xml
7604	/Resources/Data/StreamingAssets/LanguageDataFiles/version.xml	/Resources/Data/StreamingAssets/LanguageDataFiles/version.xml
7605	/StreamingAssets/LanguageDataFiles/version.xml	/StreamingAssets/LanguageDataFiles/version.xml
7606	Are you sure you want to delete your language? This can't be undone.	Êtes-vous sûr de vouloir supprimer votre langue ? Cela ne peut être annulé.
7607	StartItemUpdate	StartItemUpdate
7608	SubmitItemUpdate	SubmitItemUpdate
7609	Change notes	Notes de modification
7610	explorer.exe	explorer.exe
7611	/open,	/open,
7612	jpg files (*.jpg)|*.jpg|png files (*.png)|*.png	fichiers jpg (*.jpg)|*.jpg| fichiers png (*.png)|*.png
7613	MB\t	MB\t
7614	: issue reading language file!	: problème de lecture du fichier de langue !
7615	Error: No content in content folder!	Erreur : Aucun contenu dans le dossier de contenu !
7616	View Galaxy Settings	Afficher les paramètres de la galaxie
7617	Can't Save (In Academy)	Can't Save (In Academy)
7618	Can't Save (No Playership)	Can't Save (No Playership)
7619	Can't Save (Not Host)	Sauvegarde Impossible (Pas d'hôte)
7620	Can't Load (In Warp)	Can't Load (In Warp)
7621	Can't Load (Not Host)	Can't Load (Not Host)
7622	<color=#ffffffff>	<color=#ffffffff>
7623	JUMPS COMPLETED	SAUTS EFFECTUÉS
7624	: $	: $
7625	: $$	: $$
7626	Total:	Total :
7627	LEVELS EARNED	NIVEAUX OBTENUS
7628	AOG	AOG
7629	FB	FB
7630	DEATH COUNT	COMPTE DES DÉCÈS
7631	Pawn Deaths:	La mort des pions :
7632	Crew Deaths:	Décès de l'équipage :
7633	DAMAGE	DAMAGE
7634	Pawn Damage Dealt:	Pion endommagé :
7635	Pawn Damage Taken:	Dégâts subis par le pion :
7636	Ship Damage Dealt:	Dégâts subis par le navire :
7637	Ship Damage Taken:	Dégâts subis par le navire :
7638	MISC	MISC
7639	System Dmg Fixed:	Dmg système corrigé :
7640	Footsteps Taken:	Des traces de pas :
7641	Enemy Ships Destroyed:	Navires ennemis détruits :
7642	Missions Completed:	Missions terminées :
7643	Shots Fired:	Des coups de feu :
7644	Biscuits Sold:	Biscuits vendus :
7645	Talents Unlocked:	Talents déverrouillés :
7646	Blind Jumps Completed:	Sauts aveugles terminés :
7647	Sectors Types Visited:	Types de secteurs visités :
7648	Max Crew Level Reached:	Niveau d'équipage maximum atteint :
7649	Max Chaos Level Reached:	Niveau de chaos maximum atteint :
7650	Sector Types Discovered:	Types de secteurs découverts :
7651	Earned:	Gagné :
7652	Spent:	Dépensé :
7653	AMMO SUPPLY	APPROVISIONNEMENT EN MUNITIONS
7654	AMMO/FOOD SUPPLY	MUNITIONS/ALIMENTATION
7661	Warp to a new sector to sell more biscuits.	Passez à un nouveau secteur pour vendre plus de biscuits.
7662	This sector is not very interested in biscuits right now. Perhaps try again later.	Ce secteur n'est pas très intéressé par les biscuits en ce moment. Peut-être réessayez-vous plus tard.
7663	Hard Sell	Hard Sell
7664	Soft Sell	Vente douce
7665	Attempt to make a sale of 25 biscuits. Concludes interaction. Less likely to succeed.	Tenter de réaliser une vente de 25 biscuits. Conclut l'interaction. Moins de chances de succès.
7666	Attempt to make a sale based on their level of interest. More likely to succeed.	Tentez de conclure une vente en fonction de leur niveau d'intérêt. Vous aurez plus de chances de réussir.
7667	Sell Crate	Vendre la caisse
7668	Attempt to sell a crate (100) of biscuits. Concludes interaction.	Tentative de vente d'une caisse (100) de biscuits. Conclut l'interaction.
7669	Attempt to make a sale based on their level of interest. Concludes interaction.	Tenter de conclure une vente en fonction de leur niveau d'intérêt. Conclure l'interaction.
7670	Bought	Acheté
7671	biscuits	biscuits
7672	Number Of Sectors	Nombre de secteurs
7673	Custom Seed	Semences personnalisées
7674	C.U. Initial Strength	Force initiale de l'U.C.
7675	W.D. Initial Strength	W.D. Force initiale
7676	Infected Initial Strength	Force initiale des infectés
7677	General Store Sectors - Multiplier	Secteurs des magasins généraux - Multiplicateur
7678	Long Range Warp Sectors - Multiplier	Secteurs de distorsion à longue portée - Multiplicateur
7679	Scrapyard Sectors - Multiplier	Secteurs de la ferraille - Multiplicateur
7680	Nebula Sectors - Multiplier	Secteurs de nébuleuses - Multiplicateur
7681	Graveyard Sectors - Multiplier	Secteurs du cimetière - Multiplicateur
7682	Minefield Sectors - Multiplier	Secteurs de champs de mines - Multiplicateur
7683	Could not fully reset to Standard Settings, some settings cannot be changed. $$Following settings are locked:$	Il n'a pas été possible de réinitialiser complètement les paramètres standard, certains paramètres ne peuvent pas être modifiés. Les paramètres suivants sont verrouillés : $$$.
7684	Could not fully reset to Expert Settings, some settings cannot be changed. $$Following settings are locked:$	Il n'a pas été possible de réinitialiser complètement les paramètres experts, certains paramètres ne peuvent pas être modifiés. Les paramètres suivants sont verrouillés : $$$.
7685	Error loading save file! Save file format is not compatible with this version!	Erreur de chargement du fichier de sauvegarde ! Le format du fichier de sauvegarde n'est pas compatible avec cette version !
7686	Time	Temps
7687	SteamCloudIcon	SteamCloudIcon
7688	DeleteSave	SupprimerEnregistrer
7689	W.D. Cruiser	W.D. Cruiser
7690	Intrepid SC	Intrepid SC
7691	W.D. Destroyer	W.D. Destroyer
7692	W.D. Annihilator	W.D. Annihilator
7693	Page	Page
7694	SteamCloud Saves Storage:	SteamCloud permet d'économiser du stockage :
7695	Saves/	Sauvegarde/
7696	(OUTDATED VERSION)	(VERSION PÉRIMÉE)
7697	Ship:	Navire :
7698	$Saved:	$Saved :
7699	$Crew Level:	Niveau de l'équipe :
7700	XP)	XP)
7701	$Crew Credits:	Crédits de l'équipe :
7702	$Fuel Capsules:	Capsules de carburant :
7703	$Galaxy Seed:	$Galaxy Seed :
7704	$Ironman Mode:	Mode Ironman :
7705	$NOTE: Galaxy data will need to be recreated to add new content.	NOTE : Les données de la galaxie devront être recréées pour ajouter du nouveau contenu.
7706	$NOTE: AI Data is outdated. We recommened you reset them to the current defaults.	NOTE : Les données AI sont périmées. Nous vous recommandons de les réinitialiser aux valeurs par défaut actuelles.
7707	VRUIDepth	VRUIDepth
7708	(Steam)	(Vapeur)
7709	Connected	Connecté
7710	Not Connected	Non connecté
7711	ShipName	Nom du navire
7712	Corners	Coins
7713	HullValue	Valeur de la coque
7714	ShldValue	Valeur ShldValue
7715	Shld	
7731	Objective	Objectif
7732	Mine	Mine
7733	Scrap (	Ferraille (
7734	km	km
7740	crews -	les équipages -
7748	ViewGalaxySettings	ViewGalaxySettings
7749	Fluffy Two	Fluffy Two
7750	Interceptor	Intercepteur
7751	Paladin	Paladin
7752	Failed to join crew! Can't join Secured game when not logged in to Steam!	Impossible de rejoindre l'équipage ! Impossible de rejoindre le jeu sécurisé sans être connecté à Steam !
7753	ActuallyJoinRoom: Couldn't join crew! It is full! (	ActuallyJoinRoom : Impossible de rejoindre l'équipe ! C'est complet ! (
7754	players in-game)	joueurs dans le jeu)
7755	Couldn't join crew! It is full!	Impossible de rejoindre l'équipe ! Il est complet !
7756	ActuallyJoinRoom: !(room.customProperties.ContainsKey(\^CurrentPlayersPlusBots\^)	ActuallyJoinRoom : !(room.customProperties.ContainsKey(\^CurrentPlayersPlusBots\^)
7757	(Level	(Niveau
7760	HULL	HULL
7761	ARMOR	ARMOR
7762	CHARGE RATE	TAUX D'IMPOSITION
7763	OUTPUT	SORTIE
7764	MAX TEMP	TEMP MAX
7765	WARP	WARP
7766	RANGE	GAMME
7767	OTHER	AUTRE
7768	DETECTION	DÉTECTION
7769	MASS	MASS
7770	REVERSIBLE THRUSTERS	PROPULSEURS RÉVERSIBLES
7771	EXTRACTOR SUPPORT	SUPPORT D'EXTRACTEUR
7772	CARGO SLOTS	FENTES DE CHARGEMENT
7773	CYBER DEFENSE	DÉFENSE CYBER
7774	THRUST	THRUST
7775	MAIN	MAIN
7776	INERTIA	INERTIA
7777	MANEUVER	MANEUVER
7786	Issue writing input bindings to disk. Check file / folder permissions to ensure the game can write to disk! Exception:	Problème d'écriture des liaisons d'entrée sur le disque. Vérifiez les autorisations des fichiers et des dossiers pour vous assurer que le jeu peut écrire sur le disque ! Exception :
7787	bindings	fixations
7788	controller	contrôleur
7789	enabled	activé
7790	category	catégorie
7791	action	action
7792	hidden	caché
7793	key	clé
7794	keyboardLayout	keyboardLayout
7795	alljoysticks	alljoysticks
7796	sensitivity	sensibilité
7797	offset	décalage
7798	deadzone	zone morte
7799	clamp	pince
7800	invert	inverser
7801	device	dispositif
7802	axis	axe
7803	multiplier	multiplicateur
7805	Q	Q
7806	Issue Move Order	Émettre un ordre de déplacement
7807	mouse2	souris2
7808	MOUSE2	MOUSE2
7809	backquote	rétro-cotation
7810	BACKQUOTE	BACKQUOTE
7811	Open Chat / Send Message	Ouvrir le chat / Envoyer un message
7812	return	retourner
7813	RETURN	RETURN
7814	Piloting	Piloter
7815	Activate Boost	Activer Boost
7816	leftshift	gauchiste
7817	LEFTSHIFT	LEFTSHIFT
7818	Fire Pulse Laser	Laser à impulsion
7819	Toggle Captain's Chair Outside Camera Mode	Basculer le fauteuil du capitaine en mode caméra extérieure
7820	mouse1	souris1
7821	MOUSE1	MOUSE1
7822	Switch To Red Alert	Passez à l'alerte rouge
7823	f1	f1
7824	F1	F1
7825	Switch To Yellow Alert	Passer à l'alerte jaune
7826	f2	f2
7827	F2	F2
7828	Switch To Green Alert	Passez à l'alerte verte
7829	f3	f3
7830	F3	F3
7831	Process Scrap	Traitement de la ferraille
7832	R	R
7833	Pilot Ability	Capacité de pilotage
7834	V	V
7835	current	actuel
7836	button	bouton
7837	mouse	souris
7838	positive	positif
7839	negative	négatif
7856	xbox	xbox
7857	Xbox One Controller	Manette Xbox One
7858	PS4 Controller	Contrôleur PS4
7859	OnRemoteFileReadAsyncComplete:	OnRemoteFileReadAsyncComplete :
7860	m_cubRead:	m_cubRead :
7861	OnRemoteFileReadAsyncComplete:        bIOFailure:	OnRemoteFileReadAsyncComplete : bIOFailure :
7862	FileReadAsyncComplete called:    result:	FileReadAsyncComplete appelé : résultat :
7863	OnRemoteFileWriteAsyncComplete:	OnRemoteFileWriteAsyncComplete :
7864	none	aucun
7865	ALPHA0	ALPHA0
7866	ALPHA1	ALPHA1
7867	ALPHA2	ALPHA2
7868	ALPHA3	ALPHA3
7869	ALPHA4	ALPHA4
7870	ALPHA5	ALPHA5
7871	ALPHA6	ALPHA6
7872	ALPHA7	ALPHA7
7873	ALPHA8	ALPHA8
7874	ALPHA9	ALPHA9
7875	MOUSE0	MOUSE0
7876	LEFTCLICK	LEFTCLICK
7877	RIGHTCLICK	RIGHTCLICK
7878	gravity	gravité
7879	axiskey	Clé d'axe
7880	joy_0_axis_	joy_0_axis_
7881	joy_1_axis_	joy_1_axe_
7882	joy_2_axis_	joy_2_axe_
7883	joy_3_axis_	joy_3_axis_
7884	Saitek X-55 (Throttle)	Saitek X-55 (manette des gaz)
7885	saitek	saitek
7886	x-55	x-55
7887	throttle	papillon des gaz
7888	Saitek X-55 (Joystick)	Saitek X-55 (Joystick)
7889	stick	bâton
7890	Saitek X-52	Saitek X-52
7891	x-52	x-52
7892	for sub axis	pour les sous-axes
7893	pilot_maneuver_horizontal	pilote_maneuver_horizontal
7894	joystick_move_2d	joystick_move_2d
7895	joystick_roll_2d	joystick_roll_2d
7896	joystick_2d	joystick_2d
7897	joystick_view_2d	joystick_view_2d
7898	mouse0	souris0
7899	mouse3	souris3
7900	mouse4	souris4
7901	Numpad 0	Numpad 0
7902	Numpad 1	Numpad 1
7903	Numpad 2	Numpad 2
7904	Numpad 3	Numpad 3
7905	Numpad 4	Numpad 4
7906	Numpad 5	Numpad 5
7907	Numpad 6	Numpad 6
7908	Numpad 7	Numpad 7
7909	Numpad 8	Numpad 8
7910	Numpad 9	Numpad 9
7911	Numpad Enter	Numpad Enter
7912	Numpad /	Numpad /
7913	Numpad -	Numpad -
7914	Numpad +	Numpad +
7915	Numpad .	Numpad .
7916	Numpad =	Numpad =
7917	Numpad *	Numpad *
7918	Right Control	Contrôle du droit
7919	Left Control	Ctrl gauche
7920	Right Arrow	Flèche droite
7921	Left Arrow	Flèche gauche
7922	Up Arrow	Flèche vers le haut
7923	Down Arrow	Flèche vers le bas
7924	Right Alt	Alt droit
7925	Left Alt	Alt gauche
7926	";"	";"
7927	.	.
7928	=	=
7929	`	`
7930	\\	\\
7931	409	
7932	com.apple.keylayout.US	com.apple.keylayout.US
7933	Exception for key control:	Exception pour le contrôle des clés :
7934	Input.GetButton start	Début Input.GetButton
7935	Input.GetButton FindActionsByID	Input.GetButton FindActionsByID
7936	ColorMat	ColorMat
7937	Syncing Game State	Synchronisation de l'état du jeu
7938	Loading	Chargement
7939	.	.
7940	Board the targeted enemy ship and behave according to active subpriority	Aborder le navire ennemi ciblé et se comporter en fonction de la sous-priorité active.
7941	Attempt to sell biscuits to potential customers on the planet's surface	Tenter de vendre des biscuits à des clients potentiels à la surface de la planète.
7942	Enables the cloaking system	Active le système d'occultation
7943	Seek and capture enemy ship screens (not yet implemented)	Rechercher et capturer les écrans des navires ennemis (pas encore implémenté)
7944	Stay close to the Captain (within specified range)	Restez près du capitaine (dans les limites de la portée spécifiée)
7945	Shoot nearby enemies and attempt to avoid damage	Tirez sur les ennemis proches et essayez d'éviter les dégâts
7946	Seek and destroy enemy ship systems (not yet implemented)	Rechercher et détruire les systèmes des navires ennemis (pas encore implémenté)
7947	Begin jump preparations for warp	Commencez les préparatifs de saut pour la distorsion
7948	Jump the ship	Sauter le navire
7949	The relative power level of Engineering	Le niveau de puissance relative de l'ingénierie
7950	Higher importance will cause the AI to use LESS coolant	Si l'importance est plus grande, l'IA utilisera MOINS de liquide de refroidissement.
7951	Normal reactor management behavior	Comportement normal de gestion du réacteur
7952	Higher importance will cause the AI to use LESS power overall	Si l'importance est plus grande, l'IA utilisera MOINS d'énergie en général.
7953	Higher importance will cause the AI to take less risk with power management	Une plus grande importance amènera l'IA à prendre moins de risques avec la gestion de l'énergie.
7954	The relative power level of Science	Le niveau de puissance relative de la science
7955	The relative power level of Shields	Le niveau de puissance relatif des boucliers
7956	The relative power level of Weapons	Le niveau de puissance relative des armes
7957	Put out fires on the ship.	Éteindre les incendies sur le navire.
7958	Repair damaged systems on the ship.	Réparer les systèmes endommagés du vaisseau.
7959	Switch shield frequency to lower signature	Changer la fréquence du bouclier pour une signature plus basse
7960	Run programs and switch shield frequency based on situation	Exécuter des programmes et changer la fréquence du bouclier en fonction de la situation
7961	Fire probes and search sector for undetected ships	Lancez des sondes et fouillez le secteur à la recherche de vaisseaux non détectés.
7962	Higher importance will increase chance of virus use	Une plus grande importance augmentera les chances d'utilisation du virus
